Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1,Abhay Kumar Ashok,DHARAMSHALA,IND,0,Post Graduate,"Rs 97,40,093
~ 97 Lacs+","Rs 0
~"
2,Abhinay Bhardwaj,HAMIRPUR,Rashtriya Devbhumi Party,0,Graduate,"Rs 5,42,477
~ 5 Lacs+","Rs 2,50,000
~ 2 Lacs+"
3,Abhishek Barowalia,SHIMLA,IND,0,Graduate Professional,"Rs 29,54,391
~ 29 Lacs+","Rs 3,50,707
~ 3 Lacs+"
4,Abhishek Singh,SHAHPUR,AAP,0,12th Pass,"Rs 65,59,12,561
~ 65 Crore+","Rs 1,07,88,644
~ 1 Crore+"
5,Abhishek Thakur,SUNDERNAGAR,IND,0,Graduate Professional,"Rs 7,63,01,043
~ 7 Crore+","Rs 4,16,16,505
~ 4 Crore+"
6,Adv. Sanjay Sharma,FATEHPUR,IND,0,Graduate Professional,"Rs 1,68,10,785
~ 1 Crore+","Rs 0
~"
7,Ajay Kumar,BAIJNATH (SC),BSP,1,Others,"Rs 20,25,000
~ 20 Lacs+","Rs 3,43,500
~ 3 Lacs+"
8,Ajay Mahajan,NURPUR,INC,0,Graduate,"Rs 13,89,36,443
~ 13 Crore+","Rs 2,29,82,393
~ 2 Crore+"
9,Ajay Shyam,THEOG,BJP,0,Post Graduate,"Rs 59,60,505
~ 59 Lacs+","Rs 4,87,672
~ 4 Lacs+"
10,Ajay Singh,PACHHAD (SC),AAP,0,Graduate,"Rs 85,19,900
~ 85 Lacs+","Rs 6,00,000
~ 6 Lacs+"
11,Ajay Solanki,NAHAN,INC,2,12th Pass,"Rs 1,18,63,806
~ 1 Crore+","Rs 0
~"
12,Amar Chand,MANALI,Rashtriya Devbhumi Party,1,Graduate Professional,"Rs 1,07,37,418
~ 1 Crore+","Rs 4,00,000
~ 4 Lacs+"
13,Amar Nath,JHANDUTA (SC),BSP,0,10th Pass,"Rs 2,20,87,458
~ 2 Crore+","Rs 13,00,000
~ 13 Lacs+"
14,Amar Nath,BILASPUR,BSP,0,10th Pass,"Rs 14,81,42,298
~ 14 Crore+","Rs 13,00,000
~ 13 Lacs+"
15,Amar Singh,BILASPUR,AAP,1,Graduate,"Rs 9,69,45,400
~ 9 Crore+","Rs 5,50,000
~ 5 Lacs+"
16,Amit Mehta,THEOG,IND,0,Graduate Professional,"Rs 1,56,02,596
~ 1 Crore+","Rs 0
~"
17,Amit Verma,KANGRA,IND,1,12th Pass,"Rs 2,53,08,808
~ 2 Crore+","Rs 59,40,318
~ 59 Lacs+"
18,Amrita Chaudhry,BHATTIYAT,Hindu Samaj Party,0,12th Pass,"Rs 5,500
~ 5 Thou+","Rs 11,000
~ 11 Thou+"
19,Anil Kapoor,KINNAUR (ST),BSP,0,8th Pass,"Rs 4,40,140
~ 4 Lacs+","Rs 0
~"
20,Anil Kumar Mankotia,KUTLEHAR,AAP,2,Graduate,"Rs 67,28,000
~ 67 Lacs+","Rs 0
~"
21,Anil Rana,SUJANPUR,AAP,0,Graduate Professional,"Rs 55,34,550
~ 55 Lacs+","Rs 26,56,823
~ 26 Lacs+"
22,Anil Sharma,MANDI,BJP,0,Graduate,"Rs 57,48,41,205
~ 57 Crore+","Rs 68,27,489
~ 68 Lacs+"
23,Anirudh Singh,KASUMPTI,INC,4,Graduate,"Rs 10,20,93,247
~ 10 Crore+","Rs 6,77,80,000
~ 6 Crore+"
24,Anju,SOLAN (SC),AAP,0,Post Graduate,"Rs 2,38,37,697
~ 2 Crore+","Rs 3,00,000
~ 3 Lacs+"
25,Anurag Prarthi,MANALI,AAP,0,Graduate Professional,"Rs 3,73,13,000
~ 3 Crore+","Rs 1,63,50,000
~ 1 Crore+"
26,Arun Kumar,JAWALI,Himachal Jan Kranti Party,1,Graduate,"Rs 1,04,06,000
~ 1 Crore+","Rs 50,000
~ 50 Thou+"
27,Arun Kumar ( Kuka),NAGROTA,BJP,0,10th Pass,"Rs 2,06,60,181
~ 2 Crore+","Rs 15,34,601
~ 15 Lacs+"
28,Asha Kumari,DALHOUSIE,INC,1,Graduate,"Rs 5,40,31,819
~ 5 Crore+","Rs 32,94,708
~ 32 Lacs+"
29,Ashhwani Kumar Rana,HAROLI,Rashtriya Devbhumi Party,0,10th Pass,"Rs 1,81,50,000
~ 1 Crore+","Rs 0
~"
30,Ashish Butail,PALAMPUR,INC,0,Graduate,"Rs 30,25,22,481
~ 30 Crore+","Rs 7,64,31,200
~ 7 Crore+"
31,Ashish Kumar,HAMIRPUR,IND,0,Graduate Professional,"Rs 7,440
~ 7 Thou+","Rs 0
~"
32,Ashish Kumar,PACHHAD (SC),CPI(M),0,Post Graduate,"Rs 16,16,036
~ 16 Lacs+","Rs 0
~"
33,Ashish Sharma,SHAHPUR,Hindu Samaj Party,0,10th Pass,"Rs 10,59,604
~ 10 Lacs+","Rs 25,000
~ 25 Thou+"
34,Ashish Sharma,HAMIRPUR,IND,0,Graduate Professional,"Rs 13,60,06,025
~ 13 Crore+","Rs 48,53,091
~ 48 Lacs+"
35,Ashok Kumar,CHOPAL,IND,0,Graduate,"Rs 12,20,000
~ 12 Lacs+","Rs 0
~"
36,Ashok Kumar Bakaria,DALHOUSIE,Rashtriya Devbhumi Party,0,Graduate Professional,"Rs 70,53,000
~ 70 Lacs+","Rs 22,00,000
~ 22 Lacs+"
37,Ashwani Kumar,ROHRU (SC),AAP,0,Graduate,"Rs 8,00,000
~ 8 Lacs+","Rs 3,20,000
~ 3 Lacs+"
38,Ashwani Verma,PAONTA SAHIB,Rashtriya Devbhumi Party,0,Graduate,"Rs 1,47,18,620
~ 1 Crore+","Rs 0
~"
39,Attar Singh Chandel,THEOG,AAP,1,Doctorate,"Rs 9,95,96,564
~ 9 Crore+","Rs 23,50,000
~ 23 Lacs+"
40,Atul Kaushal,JAWALAMUKHI,IND,0,Graduate,"Rs 29,37,000
~ 29 Lacs+","Rs 50,000
~ 50 Thou+"
41,Ayodhya Prasad Verma,NAHAN,BSP,0,8th Pass,"Rs 1,09,01,000
~ 1 Crore+","Rs 0
~"
42,Baba Lal Giri,JOGINDERNAGAR,IND,0,Illiterate,"Rs 21,697
~ 21 Thou+","Rs 0
~"
43,Bal Ram,BILASPUR,Swabhiman Party,0,Graduate Professional,"Rs 8,34,02,500
~ 8 Crore+","Rs 8,20,000
~ 8 Lacs+"
44,Balbir Singh,CHINTPURNI (SC),BJP,0,Graduate,"Rs 3,71,40,730
~ 3 Crore+","Rs 80,21,664
~ 80 Lacs+"
45,Balbir Singh Verma,CHOPAL,BJP,0,12th Pass,"Rs 1,28,45,25,778
~ 128 Crore+","Rs 2,26,10,354
~ 2 Crore+"
46,Baldev Raj,JAWALI,AAP,0,10th Pass,"Rs 27,01,868
~ 27 Lacs+","Rs 8,96,400
~ 8 Lacs+"
47,Baldev Singh,SHILLAI,BJP,0,Graduate,"Rs 3,88,22,802
~ 3 Crore+","Rs 26,34,987
~ 26 Lacs+"
48,Balvinder Kumar Singh,SHIMLA RURAL,BSP,0,Graduate,"Rs 9,85,767
~ 9 Lacs+","Rs 0
~"
49,Balwant Singh,DOON,Rashtriya Devbhumi Party,0,5th Pass,"Rs 1,69,52,000
~ 1 Crore+","Rs 11,22,000
~ 11 Lacs+"
50,Banarshi Dass Dogra,SHAHPUR,BSP,0,8th Pass,"Rs 17,85,000
~ 17 Lacs+","Rs 1,25,000
~ 1 Lacs+"
51,Bansi Lal,ANNI (SC),INC,0,12th Pass,"Rs 12,50,000
~ 12 Lacs+","Rs 2,24,719
~ 2 Lacs+"
52,Bhag Singh,SRI NAINA DEVIJI,CPI,0,Post Graduate,"Rs 71,26,000
~ 71 Lacs+","Rs 13,75,000
~ 13 Lacs+"
53,Bhagat Lal,CHOPAL,BSP,0,12th Pass,"Rs 2,05,000
~ 2 Lacs+","Rs 0
~"
54,Bhagwant Singh,KARSOG (SC),AAP,0,Post Graduate,"Rs 1,46,21,800
~ 1 Crore+","Rs 7,50,000
~ 7 Lacs+"
55,Bhawani Singh Pathania,FATEHPUR,INC,0,Graduate Professional,"Rs 18,02,30,183
~ 18 Crore+","Rs 3,04,29,224
~ 3 Crore+"
56,Bhuvneshwar Gaur,MANALI,INC,3,Graduate,"Rs 24,85,62,780
~ 24 Crore+","Rs 0
~"
57,Bikram Singh,BHATTIYAT,BJP,2,Graduate,"Rs 49,41,130
~ 49 Lacs+","Rs 1,29,99,806
~ 1 Crore+"
58,Bikram Singh,JASWAN-PRAGPUR,BJP,0,Graduate Professional,"Rs 2,41,60,925
~ 2 Crore+","Rs 54,20,181
~ 54 Lacs+"
59,Bir Singh,JAWALI,BSP,0,12th Pass,"Rs 1,35,65,380
~ 1 Crore+","Rs 0
~"
60,Bumber Thakur,BILASPUR,INC,2,Graduate Professional,"Rs 8,95,28,229
~ 8 Crore+","Rs 55,61,994
~ 55 Lacs+"
61,Capt. Jaidayal Singh Pal,KUTLEHAR,IND,0,Post Graduate,"Rs 1,27,94,466
~ 1 Crore+","Rs 0
~"
62,Chaitanya Sharma,GAGRET,INC,0,Graduate Professional,"Rs 8,29,95,054
~ 8 Crore+","Rs 52,14,946
~ 52 Lacs+"
63,Chaman Lal,KARSOG (SC),BSP,0,10th Pass,"Rs 32,11,500
~ 32 Lacs+","Rs 32,000
~ 32 Thou+"
64,Chaman Rakesh Azta,SHIMLA,AAP,0,Graduate Professional,"Rs 4,10,53,552
~ 4 Crore+","Rs 12,81,652
~ 12 Lacs+"
65,Champa Thakur,MANDI,INC,1,Post Graduate,"Rs 2,83,77,278
~ 2 Crore+","Rs 53,98,405
~ 53 Lacs+"
66,Chander Bhan,SULLAH,IND,0,10th Pass,"Rs 10,000
~ 10 Thou+","Rs 0
~"
67,Chander Kumar,JAWALI,INC,0,Post Graduate,"Rs 4,43,98,032
~ 4 Crore+","Rs 28,02,878
~ 28 Lacs+"
68,Chander Mohan,UNA,IND,0,Graduate,"Rs 69,59,604
~ 69 Lacs+","Rs 0
~"
69,Chander Shekhar,DHARAMPUR,IND,0,10th Pass,"Rs 27,46,000
~ 27 Lacs+","Rs 0
~"
70,Chander Shekhar,DHARAMPUR,INC,1,Graduate Professional,"Rs 45,99,633
~ 45 Lacs+","Rs 4,22,405
~ 4 Lacs+"
71,Chet Ram,SERAJ,INC,2,10th Pass,"Rs 1,14,41,461
~ 1 Crore+","Rs 16,65,025
~ 16 Lacs+"
72,Chet Ram,BANJAR,Himachal Jan Kranti Party,0,Literate,"Rs 7,62,605
~ 7 Lacs+","Rs 0
~"
73,Chet Ram,MANDI,BSP,0,Post Graduate,"Rs 5,80,000
~ 5 Lacs+","Rs 0
~"
74,Chetan Singh Bragta,JUBBAL-KOTKHAI,BJP,0,Post Graduate,"Rs 8,40,69,567
~ 8 Crore+","Rs 0
~"
75,Dalip Thakur,SARKAGHAT,BJP,0,10th Pass,"Rs 66,15,239
~ 66 Lacs+","Rs 0
~"
76,Davinder Kumar,KUTLEHAR,INC,0,12th Pass,"Rs 5,90,00,000
~ 5 Crore+","Rs 4,00,00,000
~ 4 Crore+"
77,Dayal Pyari,PACHHAD (SC),INC,0,12th Pass,"Rs 70,66,872
~ 70 Lacs+","Rs 3,45,000
~ 3 Lacs+"
78,Deep Raj,KARSOG (SC),BJP,0,Graduate Professional,"Rs 1,79,49,685
~ 1 Crore+","Rs 15,00,000
~ 15 Lacs+"
79,Deepak Kumar,SRI NAINA DEVIJI,Rashtriya Devbhumi Party,0,12th Pass,"Rs 8,74,314
~ 8 Lacs+","Rs 75,917
~ 75 Thou+"
80,Des Raj Chauhan,DOON,IND,0,10th Pass,"Rs 4,53,91,712
~ 4 Crore+","Rs 20,00,000
~ 20 Lacs+"
81,Desh Raj,RAMPUR (SC),BSP,0,8th Pass,"Rs 1,51,500
~ 1 Lacs+","Rs 6,00,000
~ 6 Lacs+"
82,Desh Raj,NADAUN,BSP,0,10th Pass,"Rs 23,53,512
~ 23 Lacs+","Rs 0
~"
83,Devki Nand,ANNI (SC),CPI(M),9,12th Pass,"Rs 29,60,000
~ 29 Lacs+","Rs 0
~"
84,Dhameshwar Ram,SARKAGHAT,AAP,0,12th Pass,"Rs 73,73,000
~ 73 Lacs+","Rs 29,50,000
~ 29 Lacs+"
85,Dhani Ram Shandil,SOLAN (SC),INC,1,Doctorate,"Rs 4,12,97,517
~ 4 Crore+","Rs 49,44,428
~ 49 Lacs+"
86,Dharam Pal,NALAGARH,AAP,0,Others,"Rs 7,13,04,568
~ 7 Crore+","Rs 12,54,27,804
~ 12 Crore+"
87,Dhavinder Singh,DALHOUSIE,BJP,0,10th Pass,"Rs 15,67,49,714
~ 15 Crore+","Rs 74,89,862
~ 74 Lacs+"
88,Dr. Anil Dhiman,BHORANJ (SC),BJP,0,Graduate Professional,"Rs 3,18,13,238
~ 3 Crore+","Rs 0
~"
89,Dr. Ashok Kumar Somal,FATEHPUR,IND,0,Doctorate,"Rs 1,18,76,212
~ 1 Crore+","Rs 1,30,000
~ 1 Lacs+"
90,Dr. Janak Raj,BHARMOUR (ST),BJP,0,Post Graduate,"Rs 5,14,34,104
~ 5 Crore+","Rs 81,94,556
~ 81 Lacs+"
91,Dr. Kehar Singh,JAISINGHPUR (SC),IND,0,Doctorate,"Rs 5,13,00,000
~ 5 Crore+","Rs 0
~"
92,Dr. Rajan Sushant,FATEHPUR,AAP,1,Graduate Professional,"Rs 3,44,39,295
~ 3 Crore+","Rs 44,87,638
~ 44 Lacs+"
93,Dr. Rajeev Bindal,NAHAN,BJP,0,Graduate Professional,"Rs 9,57,15,369
~ 9 Crore+","Rs 15,90,845
~ 15 Lacs+"
94,Dr. Rajesh Chanana,KASUMPTI,AAP,0,Graduate Professional,"Rs 3,32,72,746
~ 3 Crore+","Rs 27,067
~ 27 Thou+"
95,Dr. Rajesh Sharma,DEHRA,INC,1,Post Graduate,"Rs 61,51,30,730
~ 61 Crore+","Rs 1,37,43,000
~ 1 Crore+"
96,Dr. Swaroop Singh Rana,SULLAH,IND,0,Post Graduate,"Rs 4,61,82,000
~ 4 Crore+","Rs 5,00,000
~ 5 Lacs+"
97,Dr.Ram Lal Markanda,LAHAUL AND SPITI (ST),BJP,0,Doctorate,"Rs 1,39,29,621
~ 1 Crore+","Rs 20,00,000
~ 20 Lacs+"
98,Dr.Subhash Chand Manglate,CHOPAL,IND,1,Doctorate,"Rs 12,09,57,028
~ 12 Crore+","Rs 2,15,00,000
~ 2 Crore+"
99,Gangu Ram Musafir,PACHHAD (SC),IND,0,Graduate,"Rs 2,65,85,485
~ 2 Crore+","Rs 38,850
~ 38 Thou+"
100,Ghanshyam,KARSOG (SC),IND,0,12th Pass,"Rs 47,58,000
~ 47 Lacs+","Rs 2,06,582
~ 2 Lacs+"
101,Gian Chand,SUJANPUR,BSP,0,10th Pass,"Rs 1,12,35,000
~ 1 Crore+","Rs 3,00,000
~ 3 Lacs+"
102,Gian Chand,NACHAN (SC),IND,0,12th Pass,"Rs 1,60,86,677
~ 1 Crore+","Rs 36,73,596
~ 36 Lacs+"
103,Gita Nand,SERAJ,AAP,0,Graduate Professional,"Rs 2,89,34,337
~ 2 Crore+","Rs 0
~"
104,Govind Ram,ARKI,BJP,0,10th Pass,"Rs 1,70,19,074
~ 1 Crore+","Rs 19,75,773
~ 19 Lacs+"
105,Govind Singh Thakur,MANALI,BJP,0,Graduate,"Rs 5,66,10,229
~ 5 Crore+","Rs 36,71,457
~ 36 Lacs+"
106,Gulshan,BARSAR,AAP,0,10th Pass,"Rs 67,15,000
~ 67 Lacs+","Rs 8,90,000
~ 8 Lacs+"
107,Gurdas Ram,BAIJNATH (SC),IND,0,10th Pass,"Rs 61,34,000
~ 61 Lacs+","Rs 2,00,000
~ 2 Lacs+"
108,Hans Raj,CHURAH (SC),BJP,2,Doctorate,"Rs 2,29,54,981
~ 2 Crore+","Rs 36,55,656
~ 36 Lacs+"
109,Hans Raj,INDORA (SC),BSP,0,8th Pass,"Rs 24,95,000
~ 24 Lacs+","Rs 4,50,000
~ 4 Lacs+"
110,Harbans Singh,DEHRA,BSP,0,10th Pass,"Rs 39,77,000
~ 39 Lacs+","Rs 4,50,000
~ 4 Lacs+"
111,Hardeep Singh Bawa,NALAGARH,INC,3,12th Pass,"Rs 5,56,36,515
~ 5 Crore+","Rs 7,61,000
~ 7 Lacs+"
112,Harish Janartha,SHIMLA,INC,1,Graduate,"Rs 4,66,40,142
~ 4 Crore+","Rs 30,00,000
~ 30 Lacs+"
113,Harmel Singh,KASAULI (SC),AAP,1,Graduate,"Rs 30,05,31,062
~ 30 Crore+","Rs 7,48,34,474
~ 7 Crore+"
114,Harshwardhan Chauhan,SHILLAI,INC,1,Graduate Professional,"Rs 13,64,83,615
~ 13 Crore+","Rs 45,18,660
~ 45 Lacs+"
115,Het Ram,SUNDERNAGAR,IND,0,Graduate,"Rs 2,05,000
~ 2 Lacs+","Rs 0
~"
116,Hiteshwar Singh,BANJAR,IND,0,Graduate,"Rs 15,78,65,098
~ 15 Crore+","Rs 42,89,378
~ 42 Lacs+"
117,Hoshiar Singh,JAWALAMUKHI,AAP,0,Post Graduate,"Rs 1,39,82,188
~ 1 Crore+","Rs 0
~"
118,Hoshyar Singh,DEHRA,IND,0,12th Pass,"Rs 5,15,35,339
~ 5 Crore+","Rs 1,24,34,394
~ 1 Crore+"
119,Hotam Singh,KULLU,CPI(M),1,Post Graduate,"Rs 36,93,584
~ 36 Lacs+","Rs 0
~"
120,Inder Dutt Lakhanpal,BARSAR,INC,1,Graduate,"Rs 7,43,43,640
~ 7 Crore+","Rs 2,10,42,749
~ 2 Crore+"
121,Inder Pal,ANNI (SC),AAP,0,Graduate Professional,"Rs 14,04,000
~ 14 Lacs+","Rs 5,70,000
~ 5 Lacs+"
122,Inder Singh,BALH (SC),BJP,0,10th Pass,"Rs 3,47,87,034
~ 3 Crore+","Rs 56,83,462
~ 56 Lacs+"
123,Indira,CHAMBA,IND,1,12th Pass,"Rs 72,42,239
~ 72 Lacs+","Rs 22,00,000
~ 22 Lacs+"
124,Indra Devi,SERAJ,BSP,0,Illiterate,"Rs 20,23,000
~ 20 Lacs+","Rs 1,65,000
~ 1 Lacs+"
125,Indu Varma,THEOG,IND,0,Post Graduate,"Rs 3,19,05,153
~ 3 Crore+","Rs 20,66,936
~ 20 Lacs+"
126,Jabna Kumari,NACHAN (SC),AAP,1,12th Pass,"Rs 7,30,510
~ 7 Lacs+","Rs 0
~"
127,Jagat Singh Negi,KINNAUR (ST),INC,1,Graduate Professional,"Rs 3,38,04,779
~ 3 Crore+","Rs 32,50,603
~ 32 Lacs+"
128,Jagdish Chand,NALAGARH,Rashtriya Devbhumi Party,2,10th Pass,"Rs 1,29,26,608
~ 1 Crore+","Rs 50,00,000
~ 50 Lacs+"
129,Jagdish Chand Sapehia,SULLAH,INC,3,Graduate,"Rs 1,80,88,609
~ 1 Crore+","Rs 17,09,000
~ 17 Lacs+"
130,Jagdish Singh,INDORA (SC),AAP,0,10th Pass,"Rs 1,86,37,917
~ 1 Crore+","Rs 36,13,000
~ 36 Lacs+"
131,Jagjiwan Paul,SULLAH,IND,0,12th Pass,"Rs 1,05,30,700
~ 1 Crore+","Rs 26,81,070
~ 26 Lacs+"
132,Jagmohan Singh,SRI RENUKAJI (SC),Rashtriya Devbhumi Party,0,10th Pass,"Rs 2,28,82,684
~ 2 Crore+","Rs 55,50,000
~ 55 Lacs+"
133,Jagpal Singh Rana,NALAGARH,IND,0,Graduate Professional,"Rs 3,11,18,049
~ 3 Crore+","Rs 2,50,000
~ 2 Lacs+"
134,Jai Dev Singh,ARKI,Rashtriya Devbhumi Party,2,12th Pass,"Rs 37,70,000
~ 37 Lacs+","Rs 7,00,000
~ 7 Lacs+"
135,Jai Ram Thakur,SERAJ,BJP,0,Graduate,"Rs 6,28,47,718
~ 6 Crore+","Rs 26,88,280
~ 26 Lacs+"
136,Jarnail Singh,BHORANJ (SC),BSP,0,12th Pass,"Rs 1,05,68,376
~ 1 Crore+","Rs 0
~"
